id,VOLUME OFERECIDAS,PERDA DE LOG,CLIENTE,HC PREVISTO S/ INDISP.,NS PREVISTO,REUNIAO,NR17,HC BRUTO,VOLUME ATENDIDAS,TREINAMENTO,TC_ID,GRUPO,FEEDBACK,OPERAÇÃO PUNCH,TMO PREVISTO,ABS,PRODUTO,SISTEMA,SITE,DATA,CELULA,BANHEIRO,INTERVALO,TO,FÉRIAS
rec00oZv7oC1j4Wvt,3.77986,0,ALELO PAT,7.247,1.0,0,0.163265,9.30612,3.77986,0.03,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,364.627,0,FORÇA DE VENDAS,0.015,-,2024-08-02,ATENDIMENTO,0.013,09:00:00,0,0
rec00u4V2om1hB1IJ,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.0,1417,NEOBPO,0,MCZ II - ALELO PAT - PERSONALIZADA,,0,PERSONALIZADA,0.0,-,2024-08-03,ATENDIMENTO,0.013,08:30:00,0,0
rec01Fl8uTrFCClxU,92.7324,0,ALELO PAT,16.3979,0.956935,0,0.105263,19.5274,92.6692,0.04,1415,NEOBPO,0,MCZ II - ALELO - CAU,197.751,0,CAU COMPLETO,0.0,MCZ II,2024-08-09,ATENDIMENTO,0.015,12:30:00,0,0
rec01c4lPmBXGWw1K,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.03,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,0.0,0,PREMIUM Premium,0.097,-,2024-08-02,ATENDIMENTO,0.013,22:00:00,0,0
rec01jgvCnrbcOr7u,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,CAP,0.0,-,2024-08-26,ATENDIMENTO,0.0,21:30:00,0,0
rec01nwrPBKHSY5nE,0.302744,0,ALELO PAT,2.32653,1.0,0,0.163265,2.32653,0.302744,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,422.525,0,CAP,0.0,-,2024-08-29,ATENDIMENTO,0.0,14:30:00,0,0
rec01urbbujWj0rj8,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,CAB,0.0,-,2024-08-18,ATENDIMENTO,0.0,12:00:00,0,0
rec027l5UNSINBig3,4.62531,0,ALELO PAT,14.4009,1.0,0,0.163265,18.6122,4.62531,0.035,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,477.741,0,FORÇA DE VENDAS,0.015,-,2024-08-12,ATENDIMENTO,0.013,12:00:00,0,0
rec03G6tZRVW5SEOC,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.0,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,,0,PREMIUM Premium,0.0,-,2024-08-17,ATENDIMENTO,0.013,15:00:00,0,0
rec03XqpM6ojQ4ce3,4.53098,0,ALELO PAT,14.494,1.0,0,0.163265,18.6122,4.53098,0.03,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,499.248,0,FORÇA DE VENDAS,0.015,-,2024-08-06,ATENDIMENTO,0.013,12:00:00,0,0
rec03xNrEBkO6ZiPU,0.315727,0,ALELO PAT,7.51026,1.0,0,0.163265,10.8571,0.315727,0.035,1417,NEOBPO,0,MCZ II - ALELO PAT - PERSONALIZADA,503.319,0,PERSONALIZADA,0.097,-,2024-08-09,ATENDIMENTO,0.013,10:00:00,0,0
rec0468xiazXurboU,56.5209,0,ALELO PAT,8.41398,0.776889,0,0.105263,9.76398,53.4519,0.018,1415,NEOBPO,0,MCZ II - ALELO - CAU,186.94,0,CAU COMPLETO,0.0,MCZ II,2024-08-10,ATENDIMENTO,0.015,09:30:00,0,0
rec04pYxLiyK8UlIm,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,CAB,0.0,-,2024-08-17,ATENDIMENTO,0.0,07:00:00,0,0
rec04zzwtH4AjriY1,9.12153,0,ALELO PAT,9.65605,0.999984,0,0.163265,13.9592,9.12153,0.035,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,525.874,0,PREMIUM Premium,0.097,-,2024-08-09,ATENDIMENTO,0.013,11:00:00,0,0
rec05nNvdeIxzHF9Z,93.5522,0,ALELO PAT,16.9633,0.965422,0,0.105263,20.2008,93.5522,0.04,1415,NEOBPO,0,MCZ II - ALELO - CAU,198.534,0,CAU COMPLETO,0.0,MCZ II,2024-08-20,ATENDIMENTO,0.015,13:30:00,0,0
rec062VQ5yhxufK4Y,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.035,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,0.0,0,PREMIUM Premium,0.097,-,2024-08-21,ATENDIMENTO,0.013,03:30:00,0,0
rec064BaCQ5V6MaqI,20.7224,0,ALELO PAT,1.64973,0.412675,0,0.105263,1.91442,17.0595,0.018,1415,NEOBPO,0,MCZ II - ALELO - CAU,58.7649,0,CAU COMPLETO,0.0,MCZ II,2024-08-03,ATENDIMENTO,0.015,06:00:00,0,0
rec06XN5EPB1fypYx,0.0541481,0,ALELO PAT,0.581633,0.999973,0,0.163265,0.581633,0.0541481,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,279.808,0,CAP,0.0,-,2024-08-20,ATENDIMENTO,0.0,08:00:00,0,0
rec06qOPnAFbrXxUm,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,CAC,0.0,-,2024-08-03,ATENDIMENTO,0.0,14:30:00,0,0
rec06smpqVtXRoF1V,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,CAB,0.0,-,2024-08-27,ATENDIMENTO,0.0,02:30:00,0,0
rec0776JjD13mkQtJ,33.7134,0,ALELO PAT,6.94908,0.926617,0,0.105263,8.03606,33.4946,0.015,1415,NEOBPO,0,MCZ II - ALELO - CAU,193.952,0,CAU COMPLETO,0.0,MCZ II,2024-08-18,ATENDIMENTO,0.015,12:30:00,0,0
rec08LtIRVDlBwbYl,5.50708,0,ALELO PAT,3.57632,0.941442,0,0.163265,5.17007,5.46625,0.035,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,517.361,0,PREMIUM Premium,0.097,-,2024-08-20,ATENDIMENTO,0.013,17:30:00,0,0
rec08NJVRcDiZk2zD,0.0,0,ALELO PAT,0.0,,0,0.0,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,FORÇA DE VENDAS,0.0,-,2024-08-04,ATENDIMENTO,0.013,12:30:00,0,0
rec08wD8RzJyGJxP5,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.035,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,0.0,0,PREMIUM Premium,0.097,-,2024-08-06,ATENDIMENTO,0.013,07:30:00,0,0
rec08xdCkR1uNJbuD,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,CAP,0.0,-,2024-08-11,ATENDIMENTO,0.0,06:00:00,0,0
rec09OAo9Z8E57wTP,44.1534,0,ALELO PAT,18.323,0.987215,0,0.163265,24.3096,44.1534,0.03,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,477.973,0,CAE PAT,0.04,-,2024-08-19,ATENDIMENTO,0.013,14:00:00,0,0
rec09Sf6De4mlARdk,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.0,1417,NEOBPO,0,MCZ II - ALELO PAT - PERSONALIZADA,,0,PERSONALIZADA,0.0,-,2024-08-11,ATENDIMENTO,0.013,22:00:00,0,0
rec09Si9fX0CPMhdS,2.67753,0,ALELO PAT,5.42857,1.0,0,0.163265,5.42857,2.67753,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,385.284,0,CAC,0.0,-,2024-08-14,ATENDIMENTO,0.0,09:00:00,0,0
rec09vdyURpYZ8ocK,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.0,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,,0,PREMIUM Premium,0.0,-,2024-08-04,ATENDIMENTO,0.013,20:00:00,0,0
rec0A9TbY1xZva8w6,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.03,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,FORÇA DE VENDAS,0.015,-,2024-08-07,ATENDIMENTO,0.013,21:00:00,0,0
rec0Agy8Gmad1eLA0,0.0,0,ALELO PAT,0.0,,0,0.0,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,FORÇA DE VENDAS,0.0,-,2024-08-03,ATENDIMENTO,0.013,13:00:00,0,0
rec0Ao9UJxvI1omDh,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.035,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,FORÇA DE VENDAS,0.015,-,2024-08-21,ATENDIMENTO,0.013,00:00:00,0,0
rec0ArvWeZmq1rU2p,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.0,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,,0,PREMIUM Premium,0.0,-,2024-08-31,ATENDIMENTO,0.013,17:00:00,0,0
rec0B75v71sBij1da,0.0,0,ALELO PAT,0.0,,0,0.0,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,FORÇA DE VENDAS,0.0,-,2024-08-04,ATENDIMENTO,0.013,13:00:00,0,0
rec0BGcx3GP8l9maw,1.57086,0,ALELO PAT,3.39286,1.0,0,0.163265,3.39286,1.57086,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,369.344,0,CAB,0.0,-,2024-08-23,ATENDIMENTO,0.0,09:30:00,0,0
rec0BSB9i4AxtvlFk,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,CAP,0.0,-,2024-08-09,ATENDIMENTO,0.0,22:00:00,0,0
rec0BSWzpDmpT7XiG,84.2126,0,ALELO PAT,16.723,0.982252,0,0.105263,19.9145,84.2126,0.04,1415,NEOBPO,0,MCZ II - ALELO - CAU,200.836,0,CAU COMPLETO,0.0,MCZ II,2024-08-15,ATENDIMENTO,0.015,14:00:00,0,0
rec0BWiYZZHVYXckZ,0.0,0,ALELO PAT,0.0,,0,0.0,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,FORÇA DE VENDAS,0.0,-,2024-08-03,ATENDIMENTO,0.013,10:30:00,0,0
rec0BbcQzQzpU8USy,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,,0,CAE PAT,0.0,-,2024-08-11,ATENDIMENTO,0.0,14:00:00,0,0
rec0BtWETlDbpLAoC,0.0,0,ALELO PAT,0.0,,0,0.0,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,FORÇA DE VENDAS,0.0,-,2024-08-25,ATENDIMENTO,0.013,04:30:00,0,0
rec0ByaBKQWLJGJF1,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,CAB,0.0,-,2024-08-31,ATENDIMENTO,0.0,09:30:00,0,0
rec0DTo8HdCpwl81h,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.035,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,0.0,0,CAE PAT,0.04,-,2024-08-13,ATENDIMENTO,0.013,22:30:00,0,0
rec0DmMJU7BoMgYcg,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.03,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,0.0,0,CAE PAT,0.04,-,2024-08-22,ATENDIMENTO,0.013,21:30:00,0,0
rec0EB3Wymu9RsPJP,0.0,0,ALELO PAT,0.0,,0,0.0,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,CAC,0.0,,2024-09-01,ATENDIMENTO,0.0,19:30:00,0,0
rec0EBbcn5XBa5p16,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,,0,CAE PAT,0.0,-,2024-08-17,ATENDIMENTO,0.0,22:00:00,0,0
rec0EIyvLmU9eJIaf,37.342,0,ALELO PAT,11.0983,0.838718,0,0.163265,15.0234,37.342,0.045,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,492.71,0,CAE PAT,0.04,-,2024-08-23,ATENDIMENTO,0.013,09:00:00,0,0
rec0EUrt0jCwXuDD7,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,CAP,0.0,-,2024-08-18,ATENDIMENTO,0.0,09:00:00,0,0
rec0EWz0wC7JRj8xi,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,CAB,0.0,-,2024-08-27,ATENDIMENTO,0.0,22:00:00,0,0
rec0EXg5b9qSAYzW9,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.035,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,0.0,0,PREMIUM Premium,0.097,-,2024-08-06,ATENDIMENTO,0.013,01:30:00,0,0
